Uuid,Fully specified name:en,Fully specified name:pt,Description,Data class,Data type,Short name:en,Short name:pt,_version:1,_order:900
c8df1bd8-b9d7-11e9-9ac5-7bf2feca59b8,ARV,ARV,,Misc,N/A,ARV,ARV,,
ca517bbe-b9d7-11e9-8653-9709b290700f,TB,TB,,Misc,N/A,TB,TB,,
cbfb91ac-b9d7-11e9-9606-53ad5f4651d2,ITS,ITS,,Misc,N/A,ITS,ITS,,
