Uuid,Void/Retire,Answers,Fully specified name:en,Fully specified name:pt,Short name:en,Short name:pt,Data class,Data type,_order:1000
f1975476-700f-11e9-a923-1681be663d3e,,,Mozambican,Moçambicana,Mozambican,Moçambicana,Misc,N/A,
f1975b92-700f-11e9-a923-1681be663d3e,,f1975476-700f-11e9-a923-1681be663d3e;c36bc411-3f10-11e4-adec-0800271c1b76,Nationality,Nacionalidade,Nationality,Nacionalidade,Misc,Coded,
