Uuid,Void/Retire,Answers,Fully specified name:en,Fully specified name:pt_BR,Short name:en,Short name:pt_BR,Data class,Data type,_order:1000
c36bc411-3f10-11e4-adec-0800271c1b52,,,Mineiro,Mineiro,Mineiro,Mineiro,Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b53,,,Motorista,Motorista,Motorista,Motorista,Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b54,,,Operário,Operário,Operário,Operário,Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b55,,,Padre,Padre,Padre,Padre,Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b56,,,Pastor,Pastor,Pastor,Pastor,Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b57,,,Pastor de Gado,Pastor de Gado,Pastor de Gado,Pastor de Gado,Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b58,,,Pedreiro,Pedreiro,Pedreiro,Pedreiro,Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b59,,,Pescador,Pescador,Pescador,Pescador,Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b60,,,Piloto,Piloto,Piloto,Piloto,Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b61,,,Polícia,Polícia,Polícia,Polícia,Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b62,,,Politicólogo,Politicólogo,Politicólogo,Politicólogo,Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b63,,,Porteiro,Porteiro,Porteiro,Porteiro,Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b64,,,Professor,Professor,Professor,Professor,Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b65,,,Psicóloco,Psicóloco,Psicóloco,Psicóloco,Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b66,,,Segurança,Segurança,Segurança,Segurança,Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b67,,,Serraheiro,Serraheiro,Serraheiro,Serraheiro,Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b68,,,Sheik,Sheik,Sheik,Sheik,Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b69,,,Sociólogo,Sociólogo,Sociólogo,Sociólogo,Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b70,,,Talhante,Talhante,Talhante,Talhante,Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b71,,,Técnico de Laboratório,Técnico de Laboratório,Técnico de Laboratório,Técnico de Laboratório,Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b72,,,Trabalhador(a) de Sexo,Trabalhador(a) de Sexo,Trabalhador(a) de Sexo,Trabalhador(a) de Sexo,Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b73,,,Vendedor,Vendedor,Vendedor,Vendedor,Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b74,,,Vidreiro,Vidreiro,Vidreiro,Vidreiro,Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b77,,,Animador,Animador,Animador,Animador,Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b76,,,Outra,Outra,Outra,Outra,Misc,Text,
