Uuid,Void/Retire,Answers,Fully specified name:en,Fully specified name:pt_BR,Short name:en,Short name:pt_BR,Data class,Data type,_order:1000
c36bc411-3f10-11e4-adec-0800271c1b51,,,Militar,Militar,Militar,Militar,Misc,N/A,
c36bc411-3f10-11e4-adec-0800271c1b52,,,Mineiro,Mineiro,Mineiro,Mineiro,Misc,N/A,
c36bc411-3f10-11e4-adec-0800271c1b53,,,Motorista,Motorista,Motorista,Motorista,Misc,N/A,
c36bc411-3f10-11e4-adec-0800271c1b54,,,Operário,Operário,Operário,Operário,Misc,N/A,
c36bc411-3f10-11e4-adec-0800271c1b55,,,Padre,Padre,Padre,Padre,Misc,N/A,
c36bc411-3f10-11e4-adec-0800271c1b56,,,Pastor,Pastor,Pastor,Pastor,Misc,N/A,
c36bc411-3f10-11e4-adec-0800271c1b57,,,Pastor de Gado,Pastor de Gado,Pastor de Gado,Pastor de Gado,Misc,N/A,
c36bc411-3f10-11e4-adec-0800271c1b58,,,Pedreiro,Pedreiro,Pedreiro,Pedreiro,Misc,N/A,
c36bc411-3f10-11e4-adec-0800271c1b59,,,Pescador,Pescador,Pescador,Pescador,Misc,N/A,
c36bc411-3f10-11e4-adec-0800271c1b60,,,Piloto,Piloto,Piloto,Piloto,Misc,N/A,
c36bc411-3f10-11e4-adec-0800271c1b61,,,Polícia,Polícia,Polícia,Polícia,Misc,N/A,
c36bc411-3f10-11e4-adec-0800271c1b62,,,Politicólogo,Politicólogo,Politicólogo,Politicólogo,Misc,N/A,
c36bc411-3f10-11e4-adec-0800271c1b63,,,Porteiro,Porteiro,Porteiro,Porteiro,Misc,N/A,
c36bc411-3f10-11e4-adec-0800271c1b64,,,Professor,Professor,Professor,Professor,Misc,N/A,
c36bc411-3f10-11e4-adec-0800271c1b65,,,Psicóloco,Psicóloco,Psicóloco,Psicóloco,Misc,N/A,
c36bc411-3f10-11e4-adec-0800271c1b66,,,Segurança,Segurança,Segurança,Segurança,Misc,N/A,
c36bc411-3f10-11e4-adec-0800271c1b67,,,Serralheiro,Serralheiro,Serralheiro,Serralheiro,Misc,N/A,
c36bc411-3f10-11e4-adec-0800271c1b68,,,Sheik,Sheik,Sheik,Sheik,Misc,N/A,
c36bc411-3f10-11e4-adec-0800271c1b69,,,Sociólogo,Sociólogo,Sociólogo,Sociólogo,Misc,N/A,
c36bc411-3f10-11e4-adec-0800271c1b70,,,Talhante,Talhante,Talhante,Talhante,Misc,N/A,
c36bc411-3f10-11e4-adec-0800271c1b71,,,Técnico de Saúde,Técnico de Saúde,Técnico de Saúde,Técnico de Saúde,Misc,N/A,
c36bc411-3f10-11e4-adec-0800271c1b72,,,Trabalhador(a) de Sexo,Trabalhador(a) de Sexo,Trabalhador(a) de Sexo,Trabalhador(a) de Sexo,Misc,N/A,
c36bc411-3f10-11e4-adec-0800271c1b73,,,Vendedor,Vendedor,Vendedor,Vendedor,Misc,N/A,
c36bc411-3f10-11e4-adec-0800271c1b74,,,Vidreiro,Vidreiro,Vidreiro,Vidreiro,Misc,N/A,
c36bc411-3f10-11e4-adec-0800271c1b77,,,Animador,Animador,Animador,Animador,Misc,N/A,
c36bc411-3f10-11e4-adec-0800271c1b76,,,Outra,Outra,Outra,Outra,Misc,N/A,
2daf8d93-0a4d-4214-ba60-5f07ff380ac9,,c36bc411-3f10-11e4-adec-0800271c1b01;c36bc411-3f10-11e4-adec-0800271c1b02;c36bc411-3f10-11e4-adec-0800271c1b03;c36bc411-3f10-11e4-adec-0800271c1b04;c36bc411-3f10-11e4-adec-0800271c1b05;c36bc411-3f10-11e4-adec-0800271c1b06;c36bc411-3f10-11e4-adec-0800271c1b07;c36bc411-3f10-11e4-adec-0800271c1b08;c36bc411-3f10-11e4-adec-0800271c1b09;c36bc411-3f10-11e4-adec-0800271c1b10;c36bc411-3f10-11e4-adec-0800271c1b11;c36bc411-3f10-11e4-adec-0800271c1b12;c36bc411-3f10-11e4-adec-0800271c1b13;c36bc411-3f10-11e4-adec-0800271c1b14;c36bc411-3f10-11e4-adec-0800271c1b15;c36bc411-3f10-11e4-adec-0800271c1b16;c36bc411-3f10-11e4-adec-0800271c1b17;c36bc411-3f10-11e4-adec-0800271c1b18;c36bc411-3f10-11e4-adec-0800271c1b19;c36bc411-3f10-11e4-adec-0800271c1b20;c36bc411-3f10-11e4-adec-0800271c1b21;c36bc411-3f10-11e4-adec-0800271c1b22;c36bc411-3f10-11e4-adec-0800271c1b23;c36bc411-3f10-11e4-adec-0800271c1b24;c36bc411-3f10-11e4-adec-0800271c1b25;c36bc411-3f10-11e4-adec-0800271c1b26;c36bc411-3f10-11e4-adec-0800271c1b27;c36bc411-3f10-11e4-adec-0800271c1b28;c36bc411-3f10-11e4-adec-0800271c1b29;c36bc411-3f10-11e4-adec-0800271c1b30;c36bc411-3f10-11e4-adec-0800271c1b31;c36bc411-3f10-11e4-adec-0800271c1b32;c36bc411-3f10-11e4-adec-0800271c1b33;c36bc411-3f10-11e4-adec-0800271c1b34;c36bc411-3f10-11e4-adec-0800271c1b35;c36bc411-3f10-11e4-adec-0800271c1b36;c36bc411-3f10-11e4-adec-0800271c1b37;c36bc411-3f10-11e4-adec-0800271c1b38;c36bc411-3f10-11e4-adec-0800271c1b39;c36bc411-3f10-11e4-adec-0800271c1b40;c36bc411-3f10-11e4-adec-0800271c1b41;c36bc411-3f10-11e4-adec-0800271c1b42;c36bc411-3f10-11e4-adec-0800271c1b43;c36bc411-3f10-11e4-adec-0800271c1b44;c36bc411-3f10-11e4-adec-0800271c1b45;c36bc411-3f10-11e4-adec-0800271c1b46;c36bc411-3f10-11e4-adec-0800271c1b47;c36bc411-3f10-11e4-adec-0800271c1b48;c36bc411-3f10-11e4-adec-0800271c1b49;c36bc411-3f10-11e4-adec-0800271c1b50;c36bc411-3f10-11e4-adec-0800271c1b51;c36bc411-3f10-11e4-adec-0800271c1b52;c36bc411-3f10-11e4-adec-0800271c1b53;c36bc411-3f10-11e4-adec-0800271c1b54;c36bc411-3f10-11e4-adec-0800271c1b55;c36bc411-3f10-11e4-adec-0800271c1b56;c36bc411-3f10-11e4-adec-0800271c1b57;c36bc411-3f10-11e4-adec-0800271c1b58;c36bc411-3f10-11e4-adec-0800271c1b59;c36bc411-3f10-11e4-adec-0800271c1b60;c36bc411-3f10-11e4-adec-0800271c1b61;c36bc411-3f10-11e4-adec-0800271c1b62;c36bc411-3f10-11e4-adec-0800271c1b63;c36bc411-3f10-11e4-adec-0800271c1b64;c36bc411-3f10-11e4-adec-0800271c1b65;c36bc411-3f10-11e4-adec-0800271c1b66;c36bc411-3f10-11e4-adec-0800271c1b67;c36bc411-3f10-11e4-adec-0800271c1b68;c36bc411-3f10-11e4-adec-0800271c1b69;c36bc411-3f10-11e4-adec-0800271c1b70;c36bc411-3f10-11e4-adec-0800271c1b71;c36bc411-3f10-11e4-adec-0800271c1b72;c36bc411-3f10-11e4-adec-0800271c1b73;c36bc411-3f10-11e4-adec-0800271c1b74;c36bc411-3f10-11e4-adec-0800271c1b77;c36bc411-3f10-11e4-adec-0800271c1b76,Occupation,Ocupação,Occupation,Ocupação,Misc,Coded,
