uuid,Members,Answers,Fully specified name:pt_BR,Fully specified name:en,Short name:pt_BR,Short name:en,Data class,Data type,_version:1,_order:100
d0021d50-e7f7-4a2b-a983-b565ddba836a,,,PS Cazimbe - 1042109,PS Cazimbe - 1042109,PS Cazimbe - 1042109,PS Cazimbe - 1042109,Misc,N/A,,
9ba8e9ff-59c2-4b54-9dc1-2872825b1711,,,PS Centro Educacional - 1040316,PS Centro Educacional - 1040316,PS Centro Educacional - 1040316,PS Centro Educacional - 1040316,Misc,N/A,,
cd75f0ab-e539-423b-845a-813ee8fe679b,,,PS Chamba - 1070111,PS Chamba - 1070111,PS Chamba - 1070111,PS Chamba - 1070111,Misc,N/A,,
8801a26a-468d-4c58-948b-a88cb6e27160,,,PS Chanculo - 1100714,PS Chanculo - 1100714,PS Chanculo - 1100714,PS Chanculo - 1100714,Misc,N/A,,
a7117b0f-8f79-4f50-94e2-db9c833a376d,,,PS Chiaquelane - 1090618,PS Chiaquelane - 1090618,PS Chiaquelane - 1090618,PS Chiaquelane - 1090618,Misc,N/A,,
8bab6fd3-b45d-42c9-8226-80def2e0932b,,,PS Chibotane - 1091108,PS Chibotane - 1091108,PS Chibotane - 1091108,PS Chibotane - 1091108,Misc,N/A,,
e08fe2ac-958c-4b4a-aa87-c16320112fc6,,,PS Chibututuine - 1100418,PS Chibututuine - 1100418,PS Chibututuine - 1100418,PS Chibututuine - 1100418,Misc,N/A,,
2455d600-ace6-4296-8fbf-aa98dc3fecc2,,,PS Chidulo - 1090406,PS Chidulo - 1090406,PS Chidulo - 1090406,PS Chidulo - 1090406,Misc,N/A,,
70def9c6-24ff-4845-b1f4-8e225fd10601,,,PS Chidulo AD -,PS Chidulo AD -,PS Chidulo AD -,PS Chidulo AD -,Misc,N/A,,
dff185ff-e8c8-4e8d-92c0-47f8e4bd4ef1,,,PS Chiguidela - 1090602,PS Chiguidela - 1090602,PS Chiguidela - 1090602,PS Chiguidela - 1090602,Misc,N/A,,
5a954f15-7c2e-4f91-b392-5887ebfdb011,,,PS Chimbazo - 1041904,PS Chimbazo - 1041904,PS Chimbazo - 1041904,PS Chimbazo - 1041904,Misc,N/A,,
36854b69-771c-472c-b317-1f3d73ff31e8,,,PS Chipole - 1081412,PS Chipole - 1081412,PS Chipole - 1081412,PS Chipole - 1081412,Misc,N/A,,
44048331-e53a-4b42-a4fe-3e81d274e376,,,PS Chitengo - 1070817,PS Chitengo - 1070817,PS Chitengo - 1070817,PS Chitengo - 1070817,Misc,N/A,,
4c12a2f1-1804-463c-a361-21b285297dd4,,,PS CIFE - 1031713,PS CIFE - 1031713,PS CIFE - 1031713,PS CIFE - 1031713,Misc,N/A,,
63dac396-2119-4731-9c63-ea5ae4640a55,,,PS Cimentos - 1100161,PS Cimentos - 1100161,PS Cimentos - 1100161,PS Cimentos - 1100161,Misc,N/A,,
91792776-875f-4754-ae31-9c5c674de768,,,PS Clinica da Liberdade - 1100155,PS Clinica da Liberdade - 1100155,PS Clinica da Liberdade - 1100155,PS Clinica da Liberdade - 1100155,Misc,N/A,,
2ad117c2-57c7-4084-8d07-9b60e7361314,,,PS Clinica Sunshine - 1100158,PS Clinica Sunshine - 1100158,PS Clinica Sunshine - 1100158,PS Clinica Sunshine - 1100158,Misc,N/A,,
d744738f-dd86-4c82-aa94-bf4cd162986d,,,PS Cubo - 1091109,PS Cubo - 1091109,PS Cubo - 1091109,PS Cubo - 1091109,Misc,N/A,,
c32410e8-29f4-4c2b-866e-7caecc10ea5e,,,PS Cumba - 1090614,PS Cumba - 1090614,PS Cumba - 1090614,PS Cumba - 1090614,Misc,N/A,,
bb15ea3d-e6ce-412e-8606-27d330ad23cf,,,PS Cunvarre - 1030609,PS Cunvarre - 1030609,PS Cunvarre - 1030609,PS Cunvarre - 1030609,Misc,N/A,,
70017ca3-bcfb-46a6-9694-2c9051381be5,,,PS Cutal - 1041707,PS Cutal - 1041707,PS Cutal - 1041707,PS Cutal - 1041707,Misc,N/A,,
c63bac81-1a2a-4b03-bdbe-2b80180775a6,,,PS Danbine 2000 AD -,PS Danbine 2000 AD -,PS Danbine 2000 AD -,PS Danbine 2000 AD -,Misc,N/A,,
22404dd1-b5b7-4ac4-ae77-e5df42626b1c,,,PS de Massaquessa - 1070605,PS de Massaquessa - 1070605,PS de Massaquessa - 1070605,PS de Massaquessa - 1070605,Misc,N/A,,
f5062be7-3c75-48ad-9bdb-a24b1d45303c,,,PS de Munginge - 1090802,PS de Munginge - 1090802,PS de Munginge - 1090802,PS de Munginge - 1090802,Misc,N/A,,
cffeb8bc-1c77-4ff6-b8e3-eadd89fb18ec,,,PS de Zuza - 1090607,PS de Zuza - 1090607,PS de Zuza - 1090607,PS de Zuza - 1090607,Misc,N/A,,
317160ae-554b-4f97-b432-ef5317c33f7c,,,PS Domba - 1070813,PS Domba - 1070813,PS Domba - 1070813,PS Domba - 1070813,Misc,N/A,,
ddc1327d-73c7-4d5c-8178-048ec86ab329,,,PS Domela - 1041620,PS Domela - 1041620,PS Domela - 1041620,PS Domela - 1041620,Misc,N/A,,
e465cb2a-9da3-4265-b01d-a10db610ac8e,,,PS Dzovo - 1100168,PS Dzovo - 1100168,PS Dzovo - 1100168,PS Dzovo - 1100168,Misc,N/A,,
c9025787-d4e8-4ac4-8a09-568399b2332f,,,PS ESC.BAS.AGRARIA - 1032112,PS ESC.BAS.AGRARIA - 1032112,PS ESC.BAS.AGRARIA - 1032112,PS ESC.BAS.AGRARIA - 1032112,Misc,N/A,,
234cb6ca-c9bd-4864-8643-f141299c2a60,,,PS Escola pratica de Formação de Sargentos - 1100217,PS Escola pratica de Formação de Sargentos - 1100217,PS Escola pratica de Formação de Sargentos - 1100217,PS Escola pratica de Formação de Sargentos - 1100217,Misc,N/A,,
45febe90-110e-4074-a8b0-46ff3dc98d7e,,,PS Esperança-Berta - 1070607,PS Esperança-Berta - 1070607,PS Esperança-Berta - 1070607,PS Esperança-Berta - 1070607,Misc,N/A,,
5ce99b30-72d1-40f6-b8b0-950de0d4690f,,,PS FIR - 1090114,PS FIR - 1090114,PS FIR - 1090114,PS FIR - 1090114,Misc,N/A,,
9c9d22d1-0f5e-4db7-8348-17ffe0a20300,,,PS Fomento - 1100156,PS Fomento - 1100156,PS Fomento - 1100156,PS Fomento - 1100156,Misc,N/A,,
30a377c3-3c14-4252-9e2f-c4bdb58db535,,,PS Furquia - 1041407,PS Furquia - 1041407,PS Furquia - 1041407,PS Furquia - 1041407,Misc,N/A,,
cd9d6142-e05b-4bb7-9871-13a82585952b,,,PS Guindingue - 1060721,PS Guindingue - 1060721,PS Guindingue - 1060721,PS Guindingue - 1060721,Misc,N/A,,
c4db91b6-2ff5-4a8f-a5bd-950de8091b67,,,PS Hanhane - 1100157,PS Hanhane - 1100157,PS Hanhane - 1100157,PS Hanhane - 1100157,Misc,N/A,,
7a64065f-218f-4cec-9bed-5a5a01098385,,,PS Igreja Baptista - 1070719,PS Igreja Baptista - 1070719,PS Igreja Baptista - 1070719,PS Igreja Baptista - 1070719,Misc,N/A,,
efd4badc-0351-42c0-8443-fbfb97daf922,,,PS Inhamussua - 1080417,PS Inhamussua - 1080417,PS Inhamussua - 1080417,PS Inhamussua - 1080417,Misc,N/A,,
8c5423a7-a742-4031-a171-233adf228eae,,,PS Inharougue - 1070201,PS Inharougue - 1070201,PS Inharougue - 1070201,PS Inharougue - 1070201,Misc,N/A,,
7d73f347-f6e5-4d65-9d6d-7b082e5ac12b,,,PS Jequecene - 1070403,PS Jequecene - 1070403,PS Jequecene - 1070403,PS Jequecene - 1070403,Misc,N/A,,
c74ad757-4d2a-410f-af91-6b7985a4685c,,,PS Jutchenge - 1070808,PS Jutchenge - 1070808,PS Jutchenge - 1070808,PS Jutchenge - 1070808,Misc,N/A,,
3dbeed22-78ec-46d8-9ef6-7d0d22f81ad8,,,PS Km-25 - 1100116,PS Km-25 - 1100116,PS Km-25 - 1100116,PS Km-25 - 1100116,Misc,N/A,,
2c838214-0f65-4ef1-909c-e35ffd7cef9b,,,PS Lusalite - 1070715,PS Lusalite - 1070715,PS Lusalite - 1070715,PS Lusalite - 1070715,Misc,N/A,,
56639e0f-37c6-42d0-8005-a75b9a6cc981,,,PS Macarale - 1090801,PS Macarale - 1090801,PS Macarale - 1090801,PS Macarale - 1090801,Misc,N/A,,
aef5c510-001a-49d3-960d-8e0ff8299f74,,,PS Macaringue - 1091116,PS Macaringue - 1091116,PS Macaringue - 1091116,PS Macaringue - 1091116,Misc,N/A,,
3bd3649c-0329-4a46-a30e-8d098d75df48,,,PS Machamba - 1091110,PS Machamba - 1091110,PS Machamba - 1091110,PS Machamba - 1091110,Misc,N/A,,
047b1f38-3891-4aeb-93c2-b8d4eec20b6f,,,PS Machua - 1090613,PS Machua - 1090613,PS Machua - 1090613,PS Machua - 1090613,Misc,N/A,,
9c9494c7-1b53-41c9-a851-fcf7a3d96467,,,PS Macunene - 1090625,PS Macunene - 1090625,PS Macunene - 1090625,PS Macunene - 1090625,Misc,N/A,,
2a47626c-0eef-429c-a472-013b4339310a,,,PS Madumo - 1080414,PS Madumo - 1080414,PS Madumo - 1080414,PS Madumo - 1080414,Misc,N/A,,
493bb66b-a35c-4309-8efb-1347c81b7922,,,PS Mafassane - 1080503,PS Mafassane - 1080503,PS Mafassane - 1080503,PS Mafassane - 1080503,Misc,N/A,,
f473498e-bbb6-41c1-94a6-76239675c07d,,,PS Mahipa - 1020416,PS Mahipa - 1020416,PS Mahipa - 1020416,PS Mahipa - 1020416,Misc,N/A,,
f9d4c3c4-d3e9-48ed-9dcc-19abce6208af,,,PS Mapai Ngaia AD -,PS Mapai Ngaia AD -,PS Mapai Ngaia AD -,PS Mapai Ngaia AD -,Misc,N/A,,
841a6277-54e6-41d6-847b-48cdb0356dd0,,,PS Mapai Ngala - 1090409,PS Mapai Ngala - 1090409,PS Mapai Ngala - 1090409,PS Mapai Ngala - 1090409,Misc,N/A,,
e876a9ce-32b6-4b56-bdc8-153337838d97,,,PS Mapapa - 1090610,PS Mapapa - 1090610,PS Mapapa - 1090610,PS Mapapa - 1090610,Misc,N/A,,
d0dc24b4-692d-4f0a-8273-8b67a9ce3649,,,PS Mapinhane - 1100170,PS Mapinhane - 1100170,PS Mapinhane - 1100170,PS Mapinhane - 1100170,Misc,N/A,,
65011efb-9c56-4bb5-bbaa-8a1bffa52021,,,PS Marien Nguabi - 1090113,PS Marien Nguabi - 1090113,PS Marien Nguabi - 1090113,PS Marien Nguabi - 1090113,Misc,N/A,,
3b2424a1-91cf-4085-9d2b-6ce333518712,,,PS Marrongane - 1041612,PS Marrongane - 1041612,PS Marrongane - 1041612,PS Marrongane - 1041612,Misc,N/A,,
2ed9e6f1-29a4-4b3a-bf45-8bc84f188dac,,,PS Massavasse - 1090621,PS Massavasse - 1090621,PS Massavasse - 1090621,PS Massavasse - 1090621,Misc,N/A,,
be187c9b-02c0-4a89-88b2-1710d3692c9b,,,PS Matadouro - 1070115,PS Matadouro - 1070115,PS Matadouro - 1070115,PS Matadouro - 1070115,Misc,N/A,,
4d7866bf-0278-4bfc-acc0-164f263b2bbd,,,PS Mathapue - 1031706,PS Mathapue - 1031706,PS Mathapue - 1031706,PS Mathapue - 1031706,Misc,N/A,,
c720e129-f118-496a-9e91-99ac9b149a90,,,PS Mavodze - 1091111,PS Mavodze - 1091111,PS Mavodze - 1091111,PS Mavodze - 1091111,Misc,N/A,,
60726cb9-d781-4207-a1b2-383f033dfbe1,,,PS Mbalavala - 1090701,PS Mbalavala - 1090701,PS Mbalavala - 1090701,PS Mbalavala - 1090701,Misc,N/A,,
9693bd8f-1b29-4b25-8e2a-450973263002,,,PS Mbimbir - 1071306,PS Mbimbir - 1071306,PS Mbimbir - 1071306,PS Mbimbir - 1071306,Misc,N/A,,
a811e426-85a4-496d-b740-69c812ce5636,,,PS Militar - 1040113,PS Militar - 1040113,PS Militar - 1040113,PS Militar - 1040113,Misc,N/A,,
036d50f7-f0f7-4d35-abf9-08bd23c8fb97,,,PS Militar - 1070721,PS Militar - 1070721,PS Militar - 1070721,PS Militar - 1070721,Misc,N/A,,
d1ba524e-2c05-4262-9878-b33c1570a77b,,,PS Militar - 1090623,PS Militar - 1090623,PS Militar - 1090623,PS Militar - 1090623,Misc,N/A,,
bd9e6727-c483-45d8-9db8-144385714a8f,,,PS Missal - 1042009,PS Missal - 1042009,PS Missal - 1042009,PS Missal - 1042009,Misc,N/A,,
695d8440-3c8d-4a6e-9a63-f8d11fb0c8d2,,,PS Mitange - 1040312,PS Mitange - 1040312,PS Mitange - 1040312,PS Mitange - 1040312,Misc,N/A,,
e1c053d6-53c6-48a6-8b9b-9a6c86e6e36c,,,PS Moloa - 1040909,PS Moloa - 1040909,PS Moloa - 1040909,PS Moloa - 1040909,Misc,N/A,,
82b1733a-21b3-435b-807b-80d6b634d6b1,,,PS Moneia - 1040937,PS Moneia - 1040937,PS Moneia - 1040937,PS Moneia - 1040937,Misc,N/A,,
21c517e8-31c5-4b43-9c86-a26b0a3aef84,,,PS Mucubi - 1040816,PS Mucubi - 1040816,PS Mucubi - 1040816,PS Mucubi - 1040816,Misc,N/A,,
aaa348ef-4365-4b95-9998-9c04087ff944,,,PS Muda - 1071310,PS Muda - 1071310,PS Muda - 1071310,PS Muda - 1071310,Misc,N/A,,
673c4cd3-d23b-41a7-bb81-9a9f660d4a13,,,PS Mudedereia - 1040838,PS Mudedereia - 1040838,PS Mudedereia - 1040838,PS Mudedereia - 1040838,Misc,N/A,,
4d543182-0e65-4549-a57a-72a020ba0d7a,,,PS Mugaua - 1040919,PS Mugaua - 1040919,PS Mugaua - 1040919,PS Mugaua - 1040919,Misc,N/A,,
d64e4401-f990-42e3-9ae1-08bbd6cf01bb,,,PS Munene - 1060716,PS Munene - 1060716,PS Munene - 1060716,PS Munene - 1060716,Misc,N/A,,
