Uuid,Void/Retire,Workflow,State concept,Initial,Terminal,_order:1000
b6c3574a-098f-4fa3-9830-ab87b5443226,,TARV STATUS WORKFLOW,In Progress,true,,
231e13f5-53d0-4cfd-8e88-b2e4f83f44f9,,TARV STATUS WORKFLOW,Suspended,,true,
