Uuid,Void/Retire,Name,Description,Format,Foreign uuid,Searchable,_order:1000
852983a9-6a6b-4c84-99db-25cfca8b5b93,,DATE_OF_SUSPENSION,,org.openmrs.util.AttributableDate,,,
762f273f-8d81-4f4c-abc0-d190c77e3569,,SUSPENSION_REASONS,,org.openmrs.Concept,8303bc52-c0f2-4360-818f-0925d86e4269,,
762f273f-8d81-4f4c-abc0-d190c77e35c7,,SUSPENSION_OBSERVATIONS,,java.lang.String,,,
