Uuid,Void/Retire,NAME,Description,Format,Foreign uuid,Searchable,_order:1000
60c54000-43b9-4b7b-b99d-74c0d53769d9,,REGISTRATION_OPTION_NONE,REGISTRATION_OPTION_NONE,java.lang.String,,,
60c54000-43b9-4b5b-b99d-74c0d53769d9,,BI,BI,java.lang.String,,True,
264bdacc-d777-4fb1-a4ad-d0e0d86f4c26,,NUIT,NUIT,java.lang.String,,True,
907aae88-7cc6-473a-b3ec-ef038e1616bd,,NUIC,NUIC,java.lang.String,,True,
4bf07790-e2f6-4ba9-8788-2ce940cf82c2,,CEDULA_DE_NASCIMENTO,Cedula de Nascimento,java.lang.String,,True,
dd8df1e9-7517-4c34-88d5-a0a1624988eb,,CARTAO_DE_ELEITOR,Cartao de Eleitor,java.lang.String,,True,
94bf9b31-ff16-45af-bb32-fdaaa1da1cd8,,DIRE,DIRE,java.lang.String,,True,
631156a9-d8f0-40d0-a218-02feb29369f1,,PASSAPORTE_ESTRANGEIRO,REGISTRATION_LABEL_PASSPORT_FOR,java.lang.String,,True,
d3f6f41c-b094-4840-b99c-f4c10e25efac,,NATIONALITY,REGISTRATION_LABEL_NATIONALITY,org.openmrs.Concept,f1975b92-700f-11e9-a923-1681be663d3e,,
